area_name,year,analysis
Bhundiya Fringe,2040,Predicted growth class: low. Estimated built-up: 17.4%. | Projected built-up change since 2024: +9.6 pp (base: 7.8%). | Growth class unchanged from 2039: low. | 2025-2040 trajectory: minimal growth (0H / 0M / 16L years).
Borij,2025,Predicted growth class: high. Estimated built-up: 47.1%. | Projected built-up change since 2024: +0.8 pp (base: 46.2%). | Growth class unchanged from baseline: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Borij,2026,Predicted growth class: high. Estimated built-up: 47.9%. | Projected built-up change since 2024: +1.6 pp (base: 46.2%). | Growth class unchanged from 2025: high. | 2-year cumulative built-up gain: +1.6 pp from 2024 base.
Borij,2027,Predicted growth class: high. Estimated built-up: 48.7%. | Projected built-up change since 2024: +2.5 pp (base: 46.2%). | Growth class unchanged from 2026: high. | 3-year cumulative built-up gain: +2.5 pp from 2024 base.
Borij,2028,Predicted growth class: high. Estimated built-up: 49.5%. | Projected built-up change since 2024: +3.3 pp (base: 46.2%). | Growth class unchanged from 2027: high. | 4-year cumulative built-up gain: +3.3 pp from 2024 base.
Borij,2029,Predicted growth class: high. Estimated built-up: 50.3%. | Projected built-up change since 2024: +4.1 pp (base: 46.2%). | Growth class unchanged from 2028: high. | 5-year cumulative built-up gain: +4.1 pp from 2024 base.
Borij,2030,Predicted growth class: high. Estimated built-up: 51.2%. | Projected built-up change since 2024: +4.9 pp (base: 46.2%). | Growth class unchanged from 2029: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Borij,2031,Predicted growth class: high. Estimated built-up: 52.0%. | Projected built-up change since 2024: +5.7 pp (base: 46.2%). | Growth class unchanged from 2030: high. | 7-year cumulative built-up gain: +5.7 pp from 2024 base.
Borij,2032,Predicted growth class: high. Estimated built-up: 52.8%. | Projected built-up change since 2024: +6.6 pp (base: 46.2%). | Growth class unchanged from 2031: high. | 8-year cumulative built-up gain: +6.6 pp from 2024 base.
Borij,2033,Predicted growth class: high. Estimated built-up: 53.6%. | Projected built-up change since 2024: +7.4 pp (base: 46.2%). | Growth class unchanged from 2032: high. | 9-year cumulative built-up gain: +7.4 pp from 2024 base.
Borij,2034,Predicted growth class: high. Estimated built-up: 54.4%. | Projected built-up change since 2024: +8.2 pp (base: 46.2%). | Growth class unchanged from 2033: high. | 10-year cumulative built-up gain: +8.2 pp from 2024 base.
Borij,2035,Predicted growth class: high. Estimated built-up: 55.3%. | Projected built-up change since 2024: +9.0 pp (base: 46.2%). | Growth class unchanged from 2034: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Borij,2036,Predicted growth class: high. Estimated built-up: 56.1%. | Projected built-up change since 2024: +9.8 pp (base: 46.2%). | Growth class unchanged from 2035: high. | 12-year cumulative built-up gain: +9.8 pp from 2024 base.
Borij,2037,Predicted growth class: high. Estimated built-up: 56.9%. | Projected built-up change since 2024: +10.7 pp (base: 46.2%). | Growth class unchanged from 2036: high. | 13-year cumulative built-up gain: +10.7 pp from 2024 base.
Borij,2038,Predicted growth class: high. Estimated built-up: 57.7%. | Projected built-up change since 2024: +11.5 pp (base: 46.2%). | Growth class unchanged from 2037: high. | 14-year cumulative built-up gain: +11.5 pp from 2024 base.
Borij,2039,Predicted growth class: high. Estimated built-up: 58.5%. | Projected built-up change since 2024: +12.3 pp (base: 46.2%). | Growth class unchanged from 2038: high. | 15-year cumulative built-up gain: +12.3 pp from 2024 base.
Borij,2040,Predicted growth class: high. Estimated built-up: 59.4%. | Projected built-up change since 2024: +13.1 pp (base: 46.2%). | Growth class unchanged from 2039: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Chiloda,2025,Predicted growth class: low. Estimated built-up: 25.2%. | Projected built-up change since 2024: +0.6 pp (base: 24.6%). | Growth class unchanged from baseline: low. | 2025-2040 trajectory: steady moderate growth (0H / 10M / 6L years).
Chiloda,2026,Predicted growth class: low. Estimated built-up: 25.8%. | Projected built-up change since 2024: +1.2 pp (base: 24.6%). | Growth class unchanged from 2025: low. | 2-year cumulative built-up gain: +1.2 pp from 2024 base.
Chiloda,2027,Predicted growth class: low. Estimated built-up: 26.4%. | Projected built-up change since 2024: +1.8 pp (base: 24.6%). | Growth class unchanged from 2026: low. | 3-year cumulative built-up gain: +1.8 pp from 2024 base.
Chiloda,2028,Predicted growth class: low. Estimated built-up: 27.0%. | Projected built-up change since 2024: +2.4 pp (base: 24.6%). | Growth class unchanged from 2027: low. | 4-year cumulative built-up gain: +2.4 pp from 2024 base.
Chiloda,2029,Predicted growth class: low. Estimated built-up: 27.6%. | Projected built-up change since 2024: +3.0 pp (base: 24.6%). | Growth class unchanged from 2028: low. | 5-year cumulative built-up gain: +3.0 pp from 2024 base.
Chiloda,2030,Predicted growth class: low. Estimated built-up: 28.2%. | Projected built-up change since 2024: +3.6 pp (base: 24.6%). | Growth class unchanged from 2029: low. | 2025-2040 trajectory: steady moderate growth (0H / 10M / 6L years).
Chiloda,2031,Predicted growth class: medium. Estimated built-up: 29.1%. | Projected built-up change since 2024: +4.5 pp (base: 24.6%). | Growth class shifted from low (2030) to medium (2031). | 7-year cumulative built-up gain: +4.5 pp from 2024 base.
Chiloda,2032,Predicted growth class: medium. Estimated built-up: 30.0%. | Projected built-up change since 2024: +5.4 pp (base: 24.6%). | Growth class unchanged from 2031: medium. | 8-year cumulative built-up gain: +5.4 pp from 2024 base.
Chiloda,2033,Predicted growth class: medium. Estimated built-up: 30.9%. | Projected built-up change since 2024: +6.2 pp (base: 24.6%). | Growth class unchanged from 2032: medium. | 9-year cumulative built-up gain: +6.2 pp from 2024 base.
Chiloda,2034,Predicted growth class: medium. Estimated built-up: 31.8%. | Projected built-up change since 2024: +7.1 pp (base: 24.6%). | Growth class unchanged from 2033: medium. | 10-year cumulative built-up gain: +7.1 pp from 2024 base.
Chiloda,2035,Predicted growth class: medium. Estimated built-up: 32.6%. | Projected built-up change since 2024: +8.0 pp (base: 24.6%). | Growth class unchanged from 2034: medium. | 2025-2040 trajectory: steady moderate growth (0H / 10M / 6L years).
Chiloda,2036,Predicted growth class: medium. Estimated built-up: 33.5%. | Projected built-up change since 2024: +8.9 pp (base: 24.6%). | Growth class unchanged from 2035: medium. | 12-year cumulative built-up gain: +8.9 pp from 2024 base.
Chiloda,2037,Predicted growth class: medium. Estimated built-up: 34.4%. | Projected built-up change since 2024: +9.8 pp (base: 24.6%). | Growth class unchanged from 2036: medium. | 13-year cumulative built-up gain: +9.8 pp from 2024 base.
Chiloda,2038,Predicted growth class: medium. Estimated built-up: 35.3%. | Projected built-up change since 2024: +10.6 pp (base: 24.6%). | Growth class unchanged from 2037: medium. | 14-year cumulative built-up gain: +10.6 pp from 2024 base.
Chiloda,2039,Predicted growth class: medium. Estimated built-up: 36.2%. | Projected built-up change since 2024: +11.5 pp (base: 24.6%). | Growth class unchanged from 2038: medium. | 15-year cumulative built-up gain: +11.5 pp from 2024 base.
Chiloda,2040,Predicted growth class: medium. Estimated built-up: 37.0%. | Projected built-up change since 2024: +12.4 pp (base: 24.6%). | Growth class unchanged from 2039: medium. | 2025-2040 trajectory: steady moderate growth (0H / 10M / 6L years).
Dashela,2025,Predicted growth class: medium. Estimated built-up: 24.9%. | Projected built-up change since 2024: +0.9 pp (base: 24.1%). | Growth class unchanged from baseline: medium. | 2025-2040 trajectory: mixed-to-strong growth (11H / 5M / 0L years).
Dashela,2026,Predicted growth class: medium. Estimated built-up: 25.8%. | Projected built-up change since 2024: +1.8 pp (base: 24.1%). | Growth class unchanged from 2025: medium. | 2-year cumulative built-up gain: +1.8 pp from 2024 base.
Dashela,2027,Predicted growth class: medium. Estimated built-up: 26.7%. | Projected built-up change since 2024: +2.6 pp (base: 24.1%). | Growth class unchanged from 2026: medium. | 3-year cumulative built-up gain: +2.6 pp from 2024 base.
Dashela,2028,Predicted growth class: medium. Estimated built-up: 27.6%. | Projected built-up change since 2024: +3.5 pp (base: 24.1%). | Growth class unchanged from 2027: medium. | 4-year cumulative built-up gain: +3.5 pp from 2024 base.
Dashela,2029,Predicted growth class: medium. Estimated built-up: 28.5%. | Projected built-up change since 2024: +4.4 pp (base: 24.1%). | Growth class unchanged from 2028: medium. | 5-year cumulative built-up gain: +4.4 pp from 2024 base.
Dashela,2030,Predicted growth class: high. Estimated built-up: 29.3%. | Projected built-up change since 2024: +5.2 pp (base: 24.1%). | Growth class shifted from medium (2029) to high (2030). | 2025-2040 trajectory: mixed-to-strong growth (11H / 5M / 0L years).
Dashela,2031,Predicted growth class: high. Estimated built-up: 30.1%. | Projected built-up change since 2024: +6.0 pp (base: 24.1%). | Growth class unchanged from 2030: high. | 7-year cumulative built-up gain: +6.0 pp from 2024 base.
Dashela,2032,Predicted growth class: high. Estimated built-up: 30.9%. | Projected built-up change since 2024: +6.9 pp (base: 24.1%). | Growth class unchanged from 2031: high. | 8-year cumulative built-up gain: +6.9 pp from 2024 base.
Dashela,2033,Predicted growth class: high. Estimated built-up: 31.7%. | Projected built-up change since 2024: +7.7 pp (base: 24.1%). | Growth class unchanged from 2032: high. | 9-year cumulative built-up gain: +7.7 pp from 2024 base.
Dashela,2034,Predicted growth class: high. Estimated built-up: 32.6%. | Projected built-up change since 2024: +8.5 pp (base: 24.1%). | Growth class unchanged from 2033: high. | 10-year cumulative built-up gain: +8.5 pp from 2024 base.
Dashela,2035,Predicted growth class: high. Estimated built-up: 33.4%. | Projected built-up change since 2024: +9.3 pp (base: 24.1%). | Growth class unchanged from 2034: high. | 2025-2040 trajectory: mixed-to-strong growth (11H / 5M / 0L years).
Dashela,2036,Predicted growth class: high. Estimated built-up: 34.2%. | Projected built-up change since 2024: +10.1 pp (base: 24.1%). | Growth class unchanged from 2035: high. | 12-year cumulative built-up gain: +10.1 pp from 2024 base.
Dashela,2037,Predicted growth class: high. Estimated built-up: 35.0%. | Projected built-up change since 2024: +11.0 pp (base: 24.1%). | Growth class unchanged from 2036: high. | 13-year cumulative built-up gain: +11.0 pp from 2024 base.
Dashela,2038,Predicted growth class: high. Estimated built-up: 35.8%. | Projected built-up change since 2024: +11.8 pp (base: 24.1%). | Growth class unchanged from 2037: high. | 14-year cumulative built-up gain: +11.8 pp from 2024 base.
Dashela,2039,Predicted growth class: high. Estimated built-up: 36.7%. | Projected built-up change since 2024: +12.6 pp (base: 24.1%). | Growth class unchanged from 2038: high. | 15-year cumulative built-up gain: +12.6 pp from 2024 base.
Dashela,2040,Predicted growth class: high. Estimated built-up: 37.5%. | Projected built-up change since 2024: +13.4 pp (base: 24.1%). | Growth class unchanged from 2039: high. | 2025-2040 trajectory: mixed-to-strong growth (11H / 5M / 0L years).
Dholakuva,2025,Predicted growth class: medium. Estimated built-up: 26.1%. | Projected built-up change since 2024: +0.9 pp (base: 25.2%). | Growth class unchanged from baseline: medium. | 2025-2040 trajectory: steady moderate growth (0H / 16M / 0L years).
Dholakuva,2026,Predicted growth class: medium. Estimated built-up: 27.0%. | Projected built-up change since 2024: +1.8 pp (base: 25.2%). | Growth class unchanged from 2025: medium. | 2-year cumulative built-up gain: +1.8 pp from 2024 base.
Dholakuva,2027,Predicted growth class: medium. Estimated built-up: 27.9%. | Projected built-up change since 2024: +2.6 pp (base: 25.2%). | Growth class unchanged from 2026: medium. | 3-year cumulative built-up gain: +2.6 pp from 2024 base.
Dholakuva,2028,Predicted growth class: medium. Estimated built-up: 28.7%. | Projected built-up change since 2024: +3.5 pp (base: 25.2%). | Growth class unchanged from 2027: medium. | 4-year cumulative built-up gain: +3.5 pp from 2024 base.
Dholakuva,2029,Predicted growth class: medium. Estimated built-up: 29.6%. | Projected built-up change since 2024: +4.4 pp (base: 25.2%). | Growth class unchanged from 2028: medium. | 5-year cumulative built-up gain: +4.4 pp from 2024 base.
Dholakuva,2030,Predicted growth class: medium. Estimated built-up: 30.5%. | Projected built-up change since 2024: +5.3 pp (base: 25.2%). | Growth class unchanged from 2029: medium. | 2025-2040 trajectory: steady moderate growth (0H / 16M / 0L years).
Dholakuva,2031,Predicted growth class: medium. Estimated built-up: 31.4%. | Projected built-up change since 2024: +6.2 pp (base: 25.2%). | Growth class unchanged from 2030: medium. | 7-year cumulative built-up gain: +6.2 pp from 2024 base.
Dholakuva,2032,Predicted growth class: medium. Estimated built-up: 32.3%. | Projected built-up change since 2024: +7.0 pp (base: 25.2%). | Growth class unchanged from 2031: medium. | 8-year cumulative built-up gain: +7.0 pp from 2024 base.
Dholakuva,2033,Predicted growth class: medium. Estimated built-up: 33.1%. | Projected built-up change since 2024: +7.9 pp (base: 25.2%). | Growth class unchanged from 2032: medium. | 9-year cumulative built-up gain: +7.9 pp from 2024 base.
Dholakuva,2034,Predicted growth class: medium. Estimated built-up: 34.0%. | Projected built-up change since 2024: +8.8 pp (base: 25.2%). | Growth class unchanged from 2033: medium. | 10-year cumulative built-up gain: +8.8 pp from 2024 base.
Dholakuva,2035,Predicted growth class: medium. Estimated built-up: 34.9%. | Projected built-up change since 2024: +9.7 pp (base: 25.2%). | Growth class unchanged from 2034: medium. | 2025-2040 trajectory: steady moderate growth (0H / 16M / 0L years).
Dholakuva,2036,Predicted growth class: medium. Estimated built-up: 35.8%. | Projected built-up change since 2024: +10.6 pp (base: 25.2%). | Growth class unchanged from 2035: medium. | 12-year cumulative built-up gain: +10.6 pp from 2024 base.
Dholakuva,2037,Predicted growth class: medium. Estimated built-up: 36.7%. | Projected built-up change since 2024: +11.4 pp (base: 25.2%). | Growth class unchanged from 2036: medium. | 13-year cumulative built-up gain: +11.4 pp from 2024 base.
Dholakuva,2038,Predicted growth class: medium. Estimated built-up: 37.5%. | Projected built-up change since 2024: +12.3 pp (base: 25.2%). | Growth class unchanged from 2037: medium. | 14-year cumulative built-up gain: +12.3 pp from 2024 base.
Dholakuva,2039,Predicted growth class: medium. Estimated built-up: 38.4%. | Projected built-up change since 2024: +13.2 pp (base: 25.2%). | Growth class unchanged from 2038: medium. | 15-year cumulative built-up gain: +13.2 pp from 2024 base.
Dholakuva,2040,Predicted growth class: medium. Estimated built-up: 39.3%. | Projected built-up change since 2024: +14.1 pp (base: 25.2%). | Growth class unchanged from 2039: medium. | 2025-2040 trajectory: steady moderate growth (0H / 16M / 0L years).
GIDC Electronic Estate,2025,Predicted growth class: high. Estimated built-up: 45.9%. | Projected built-up change since 2024: +0.8 pp (base: 45.1%). | Growth class unchanged from baseline: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
GIDC Electronic Estate,2026,Predicted growth class: high. Estimated built-up: 46.7%. | Projected built-up change since 2024: +1.6 pp (base: 45.1%). | Growth class unchanged from 2025: high. | 2-year cumulative built-up gain: +1.6 pp from 2024 base.
GIDC Electronic Estate,2027,Predicted growth class: high. Estimated built-up: 47.6%. | Projected built-up change since 2024: +2.5 pp (base: 45.1%). | Growth class unchanged from 2026: high. | 3-year cumulative built-up gain: +2.5 pp from 2024 base.
GIDC Electronic Estate,2028,Predicted growth class: high. Estimated built-up: 48.4%. | Projected built-up change since 2024: +3.3 pp (base: 45.1%). | Growth class unchanged from 2027: high. | 4-year cumulative built-up gain: +3.3 pp from 2024 base.
GIDC Electronic Estate,2029,Predicted growth class: high. Estimated built-up: 49.2%. | Projected built-up change since 2024: +4.1 pp (base: 45.1%). | Growth class unchanged from 2028: high. | 5-year cumulative built-up gain: +4.1 pp from 2024 base.
GIDC Electronic Estate,2030,Predicted growth class: high. Estimated built-up: 50.0%. | Projected built-up change since 2024: +4.9 pp (base: 45.1%). | Growth class unchanged from 2029: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
GIDC Electronic Estate,2031,Predicted growth class: high. Estimated built-up: 50.8%. | Projected built-up change since 2024: +5.7 pp (base: 45.1%). | Growth class unchanged from 2030: high. | 7-year cumulative built-up gain: +5.7 pp from 2024 base.
GIDC Electronic Estate,2032,Predicted growth class: high. Estimated built-up: 51.7%. | Projected built-up change since 2024: +6.6 pp (base: 45.1%). | Growth class unchanged from 2031: high. | 8-year cumulative built-up gain: +6.6 pp from 2024 base.
GIDC Electronic Estate,2033,Predicted growth class: high. Estimated built-up: 52.5%. | Projected built-up change since 2024: +7.4 pp (base: 45.1%). | Growth class unchanged from 2032: high. | 9-year cumulative built-up gain: +7.4 pp from 2024 base.
GIDC Electronic Estate,2034,Predicted growth class: high. Estimated built-up: 53.3%. | Projected built-up change since 2024: +8.2 pp (base: 45.1%). | Growth class unchanged from 2033: high. | 10-year cumulative built-up gain: +8.2 pp from 2024 base.
GIDC Electronic Estate,2035,Predicted growth class: high. Estimated built-up: 54.1%. | Projected built-up change since 2024: +9.0 pp (base: 45.1%). | Growth class unchanged from 2034: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
GIDC Electronic Estate,2036,Predicted growth class: high. Estimated built-up: 54.9%. | Projected built-up change since 2024: +9.8 pp (base: 45.1%). | Growth class unchanged from 2035: high. | 12-year cumulative built-up gain: +9.8 pp from 2024 base.
GIDC Electronic Estate,2037,Predicted growth class: high. Estimated built-up: 55.8%. | Projected built-up change since 2024: +10.7 pp (base: 45.1%). | Growth class unchanged from 2036: high. | 13-year cumulative built-up gain: +10.7 pp from 2024 base.
GIDC Electronic Estate,2038,Predicted growth class: high. Estimated built-up: 56.6%. | Projected built-up change since 2024: +11.5 pp (base: 45.1%). | Growth class unchanged from 2037: high. | 14-year cumulative built-up gain: +11.5 pp from 2024 base.
GIDC Electronic Estate,2039,Predicted growth class: high. Estimated built-up: 57.4%. | Projected built-up change since 2024: +12.3 pp (base: 45.1%). | Growth class unchanged from 2038: high. | 15-year cumulative built-up gain: +12.3 pp from 2024 base.
GIDC Electronic Estate,2040,Predicted growth class: high. Estimated built-up: 58.2%. | Projected built-up change since 2024: +13.1 pp (base: 45.1%). | Growth class unchanged from 2039: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Green City,2025,Predicted growth class: high. Estimated built-up: 64.1%. | Projected built-up change since 2024: +0.8 pp (base: 63.3%). | Growth class unchanged from baseline: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Green City,2026,Predicted growth class: high. Estimated built-up: 65.0%. | Projected built-up change since 2024: +1.6 pp (base: 63.3%). | Growth class unchanged from 2025: high. | 2-year cumulative built-up gain: +1.6 pp from 2024 base.
Green City,2027,Predicted growth class: high. Estimated built-up: 65.8%. | Projected built-up change since 2024: +2.5 pp (base: 63.3%). | Growth class unchanged from 2026: high. | 3-year cumulative built-up gain: +2.5 pp from 2024 base.
Green City,2028,Predicted growth class: high. Estimated built-up: 66.6%. | Projected built-up change since 2024: +3.3 pp (base: 63.3%). | Growth class unchanged from 2027: high. | 4-year cumulative built-up gain: +3.3 pp from 2024 base.
Green City,2029,Predicted growth class: high. Estimated built-up: 67.4%. | Projected built-up change since 2024: +4.1 pp (base: 63.3%). | Growth class unchanged from 2028: high. | 5-year cumulative built-up gain: +4.1 pp from 2024 base.
Green City,2030,Predicted growth class: high. Estimated built-up: 68.2%. | Projected built-up change since 2024: +4.9 pp (base: 63.3%). | Growth class unchanged from 2029: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Green City,2031,Predicted growth class: high. Estimated built-up: 69.1%. | Projected built-up change since 2024: +5.7 pp (base: 63.3%). | Growth class unchanged from 2030: high. | 7-year cumulative built-up gain: +5.7 pp from 2024 base.
Green City,2032,Predicted growth class: high. Estimated built-up: 69.9%. | Projected built-up change since 2024: +6.6 pp (base: 63.3%). | Growth class unchanged from 2031: high. | 8-year cumulative built-up gain: +6.6 pp from 2024 base.
Green City,2033,Predicted growth class: high. Estimated built-up: 70.7%. | Projected built-up change since 2024: +7.4 pp (base: 63.3%). | Growth class unchanged from 2032: high. | 9-year cumulative built-up gain: +7.4 pp from 2024 base.
Green City,2034,Predicted growth class: high. Estimated built-up: 71.5%. | Projected built-up change since 2024: +8.2 pp (base: 63.3%). | Growth class unchanged from 2033: high. | 10-year cumulative built-up gain: +8.2 pp from 2024 base.
Green City,2035,Predicted growth class: high. Estimated built-up: 72.3%. | Projected built-up change since 2024: +9.0 pp (base: 63.3%). | Growth class unchanged from 2034: high. | 2025-2040 trajectory: strong growth (16H / 0M / 0L years).
Green City,2036,Predicted growth class: high. Estimated built-up: 73.2%. | Projected built-up change since 2024: +9.8 pp (base: 63.3%). | Growth class unchanged from 2035: high. | 12-year cumulative built-up gain: +9.8 pp from 2024 base.
Green City,2037,Predicted growth class: high. Estimated built-up: 74.0%. | Projected built-up change since 2024: +10.7 pp (base: 63.3%). | Growth class unchanged from 2036: high. | 13-year cumulative built-up gain: +10.7 pp from 2024 base.
Green City,2038,Predicted growth class: high. Estimated built-up: 74.8%. | Projected built-up change since 2024: +11.5 pp (base: 63.3%). | Growth class unchanged from 2037: high. | 14-year cumulative built-up gain: +11.5 pp from 2024 base.
